state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Bernie Sanders,Donald Trump,Hillary Clinton,John Kasich,Ted Cruz,HilaryPercent
NC,44614,45419,-1.8,45422,6.7,24.1,16.4,53.2,46.4,50.9,0.7,0.5,0,1.4,7.2,40.9,89.2,3.9,5.5,75.6,11.4,3202,23,19959,62.5,10.5,99600,16640,2.66,17905,34987,28,844,12682,3.5,2346,3089,25.9,0,0,0,0,28.5,639233,0,582116,13553,53898,26,253.52,179.2,0,0,0,0,0,0
FL,8835,8870,-0.4,8870,5.1,20.1,14,40,82.5,15.2,0.7,0.2,0.1,1.3,12.5,71,85.1,8.2,12.5,78.4,9.3,765,24.3,3300,79.9,2.8,116600,2710,2.75,18660,39722,20.2,94,762,1.1,325,247,0,0,0,0,0,0,0,0,66528,8292,2663,11,543.41,16.3,0,0,0,0,0,0
MI,51608,52286,-1.3,52293,4.6,21.3,19.4,50,89.6,5.4,1.2,0.8,0,3,3.5,86.7,91.6,2,4.5,87.2,16.2,4669,25.6,25893,83.6,5,124800,19663,2.63,22743,44346,14.5,737,6650,-4.9,3016,4140,3.3,0,0,0,1.5,0,711270,0,183403,3623,27133,84,490.06,106.7,0,0,0,0,0,0
PA,42274,41980,0.7,41981,5.8,19.9,19.6,50.5,97.2,0.9,0.3,0.5,0,1.1,1.3,96.1,88.1,1.1,2.3,88.4,19.1,4129,23.5,21492,74.3,10,116000,17058,2.37,22621,44187,15.3,890,11332,-2.4,2535,3288,0,0,0,0,0,22.5,463131,201818,413451,10162,39984,79,1133.79,37,0,0,0,0,0,0
WI,45379,44675,1.6,44673,6.8,25.3,15.7,49.6,94.8,1.5,1.3,0.8,0.1,1.4,4,91.4,85.6,2.2,8.9,88.2,17.4,5231,19.9,19528,68.2,17,135300,17543,2.52,23456,49774,14.4,959,14838,-1.5,2511,2868,0,0,0.9,0,0,17.5,1055783,306139,502249,11657,71449,96,900.78,49.6,0,0,0,0,0,0
CO,4629,4434,4.4,4436,3.4,17,24.6,50.9,96.8,0.2,0.5,0.6,0.1,1.8,5.5,91.9,79.8,2.9,6.4,98.4,47.5,551,22.8,3151,75.4,10.6,383900,1943,2.3,33015,64601,5.6,263,963,4,873,1117,0,0,0,0,0,26.5,0,1022,26977,6131,21247,33,541.59,8.2,0,0,0,0,0,0
SD,3033,2982,1.7,2982,5.2,21.5,23,49,96.8,0.3,1.7,0.3,0,1,1.5,95.5,87.8,1.1,2.1,86.2,17.9,253,12.7,1731,71.2,11.2,56700,1364,2.09,25751,38362,14.1,128,735,1.7,258,479,0,0,0,0,0,17.7,0,0,28156,9613,0,0,2870.48,1,0,0,0,0,0,0
CA,179091,174528,2.6,174528,8.3,28.5,12,48.9,89.7,3.5,2.6,2.3,0.2,1.7,82.3,12.3,84,32.3,74.5,64.5,13.3,6405,20.8,56972,56.4,21.3,147300,48099,3.42,16763,41807,23.3,2419,31319,3.9,9691,10129,2.6,2.6,0,0,52.2,28.8,1207866,0,1727258,10771,167799,246,4176.6,41.8,0,0,0,0,0,0
FL,1397710,1320134,5.9,1320134,5.1,19.5,22.7,51.6,76.1,18.8,0.6,2.7,0.1,1.7,20.7,57.3,85,22.6,28.4,87.5,32.4,99057,24.5,674844,71.2,40.6,199700,526007,2.51,32858,52432,14.5,44234,466399,3.7,151331,163433,8.9,0.5,3.1,0,14.4,27.8,4240652,12017516,19321650,15278,3088613,5066,1969.76,670.2,0,0,0,0,0,0
TX,518947,455764,13.9,455746,6.8,26.8,12,50.5,89.6,4.9,1,2.7,0.1,1.7,22.5,68.6,83.5,12.9,19.2,86.3,30.7,32099,31.7,195381,72.9,15.5,166200,163462,2.87,32911,67766,12.4,9945,136265,6.3,41229,40269,0,0,2.1,0,9.7,25.9,3667010,6399326,5260066,12748,728582,7145,1041.74,437.5,0,0,0,0,0,0
MO,10267,10631,-3.4,10630,6,21.9,18.7,50.7,95.7,1.6,0.7,0.1,0,1.8,1.7,94.2,86.7,0.8,1.7,77.3,11,1087,24.7,5279,72.3,6.9,78800,4126,2.45,19101,36387,23.7,349,2054,3.5,502,1017,0,0,0,0,0,19.2,0,1613,65805,6524,5296,0,550.26,19.3,0,0,0,0,0,0
NC,58485,59495,-1.7,59495,5.9,22.9,17.9,52.2,56.3,41,0.6,0.7,0.2,1.2,7.5,50.1,85.1,3.7,6.7,79,14,4369,22.1,27242,60.1,14.7,94200,23569,2.46,19760,35770,23.7,1258,21107,1.7,3177,3889,0,0,0,0,0,24.7,1229080,0,842826,14876,69668,54,400.59,148.5,0,0,0,0,0,0
WI,20215,20875,-3.2,20875,3.7,14.9,27.1,46.4,94,3.2,1.1,0.5,0.1,1.2,3.9,90.6,88.4,3.4,5.4,85.3,12.1,2551,28,17393,85.3,6,135600,8278,2.34,22196,44897,10.6,329,3157,0.8,1064,1469,0,0,0,0,0,11.7,0,12643,130364,6381,41954,61,645.65,32.3,0,0,0,0,0,0
NM,17682,17950,-1.5,17950,5.5,23.3,16.6,49.2,89,0.7,1.3,6.4,0.1,2.5,16.7,73.6,86.8,9.7,16.4,97,63.4,1809,16,8312,75.4,22.6,284500,7590,2.35,51044,106686,4.4,377,0,0,1044,1496,0,0,2.7,0,6.1,49.3,0,0,97901,5279,17726,3,109.17,164.4,0,0,0,0,0,0
OK,27561,27576,-0.1,27576,6.7,24.9,17.1,50.7,82.3,2.8,8.6,0.8,0.1,5.4,7.6,76.3,91.5,2.9,5.5,83.3,15.4,2123,22.6,12805,73.5,6.9,83800,10294,2.62,21285,38245,19.1,706,7727,0.1,2093,2536,0,10.7,0,0,0,24,0,95832,331592,12248,20314,33,802.12,34.4,0,0,0,0,0,0
AZ,218844,211015,3.7,211033,4.1,17.4,28.1,51.1,93.6,0.9,2.1,1,0.1,2.2,14.2,80.9,80.7,6.8,10.4,90.2,24.2,27950,22.2,112523,70,10.7,184100,91349,2.28,25186,42987,15.8,5548,53338,1,17762,23563,0,0.8,1,0,6.9,25.4,763989,831416,2695406,12714,456458,968,8123.5,26,0,0,0,0,0,0
FL,102408,95696,7,95696,4.2,18.1,28.4,52,83.7,11.5,0.4,2.4,0.1,1.9,9.8,75.3,88.2,13.4,15.5,90.2,23.3,11345,26.4,49562,80.2,11.3,169300,35647,2.71,24497,47233,16.6,1863,15920,0,8112,9695,0,0,0,0,0,0,235664,0,684121,7766,114760,548,485.46,197.1,0,0,0,0,0,0
OK,3812,3685,3.4,3685,7.2,25.5,17.8,50.5,95.9,0.2,1.4,0.2,0.2,2,20.2,77.1,93,13.2,17.2,85.4,16.1,241,14.3,1893,80.5,4.2,68500,1492,2.45,22675,46117,14.9,103,673,6.2,319,313,0,0,0,0,0,0,0,0,20983,6355,0,0,1039.02,3.5,0,0,0,0,0,0
FL,2662874,2498017,6.6,2496435,5.8,20.6,15.2,51.4,77.9,18.9,0.3,1.7,0,1.2,66.2,14.8,86.9,51.3,72.2,78.8,26.3,60168,29,1004371,55.7,47.4,201000,828031,3.02,23174,43100,19.9,78629,886497,2.9,407551,403672,11.4,0.5,2.2,0.1,60.5,28.9,9347116,60760055,34530470,14074,6005856,7731,1897.72,1315.5,0,0,0,0,0,0
TX,9908,10269,-3.5,10269,8.2,29.1,12.7,48.3,94.4,1.7,2,0.5,0.3,1,62.1,35.9,83.4,17.7,49.4,62.5,16.2,367,15,3785,71.2,4.7,86400,3215,3.12,19304,44943,21.3,207,3383,11.2,480,718,0,0,0,0,0,0,0,224947,39479,4199,1827,13,880.78,11.7,0,0,0,0,0,0
FL,139377,141236,-1.3,141236,3.8,15,35.2,51.6,93.3,3.1,0.4,1.6,0,1.5,5.2,88.7,88,4.8,5.9,86,16.6,21097,25.9,77717,82.6,5.6,117400,60319,2.29,23148,39100,16.8,2665,26477,1.6,8790,12451,2.5,0,0,0,0,30.9,0,0,1405565,10051,109681,233,581.7,242.8,0,0,0,0,0,0
CA,31749,34895,-9,34895,4.5,17,12.5,36.3,81.6,8.8,4.2,1.4,0.6,3.4,18.5,66,71.1,7,17.7,79.4,13.1,3119,19.4,12741,62.9,13.4,185500,9945,2.36,19931,53107,16.9,409,3947,12.5,1031,1829,0,0,0,0,0,20.3,0,0,260422,7440,29679,6,4541.18,7.7,0,0,0,0,0,0
VA,21936,21699,1.1,21717,4,19.1,19.4,50.6,79.3,17.7,0.3,1.3,0,1.4,2.4,77.3,92.5,2.8,5.4,87.4,38,2026,30.1,8900,90.2,0.8,338500,8058,2.4,45039,80976,5.6,638,17205,0,1969,2336,0,0,0,0,0,23.6,0,97362,183950,8914,15818,127,281.42,77.2,0,0,0,0,0,0
MO,20299,20743,-2.1,20743,5.9,23.8,17.3,49.6,95.4,1.6,0.7,0.5,0,1.7,2.1,93.6,84.5,0.7,1.2,90.4,17.1,2125,27.2,8887,72.6,12,142900,8089,2.5,25100,53826,10.2,370,2780,-0.9,1318,1587,0,0,0,0,0,0,0,96781,147247,7019,16242,28,418.96,49.5,0,0,0,0,0,0
GA,14214,14332,-0.8,14333,5.4,19,21.7,50.8,62.8,34.9,0.5,0.4,0.1,1.2,2,61.4,91.4,1.7,2.7,80.5,15.8,1468,26.3,9299,81.5,5.8,103700,4993,2.81,21484,39068,14.9,184,1199,-7.4,884,1217,0,0,0,0,0,21.2,0,0,113983,9952,19840,24,424.3,33.8,0,0,0,0,0,0
MD,904430,863519,4.7,863420,6.7,22.7,11.2,51.8,26.9,64.7,1,4.6,0.2,2.6,16.9,14.2,84.9,20.2,20.8,85.5,29.8,61842,35.8,330516,62.5,32.5,269800,303441,2.81,32344,73623,9.4,14281,243260,1.1,71062,72759,54.5,0.9,6.2,0.1,8.8,37.8,2504675,10449816,9209683,11060,1205022,1292,482.69,1788.8,0,0,0,0,0,0
WA,30228,29872,1.2,29872,3.3,13.4,31.8,50.7,91.3,1,2.2,1.8,0.2,3.4,3.7,88.4,84.4,3.5,4.4,94.6,36.5,4447,23.8,17947,73.2,8.9,284100,13801,2.1,28266,46320,13.3,1028,6365,-0.6,2975,4007,0,0,0,0,0,29.4,209489,51061,210897,7204,48744,121,1803.7,16.6,0,0,0,0,0,0
IL,13688,14081,-2.8,14081,5.4,22.8,19.8,50.5,97.2,1,0.3,0.4,0,1,2.9,94.6,89,0.8,2.3,88.6,16.3,1164,21.8,6334,76.6,9.9,89600,5651,2.4,25448,48866,10.5,374,3971,-1,974,1500,0,0,0,0,0,31.2,0,323108,112302,7990,11430,11,485.62,29,0,0,0,0,0,0
MO,54362,52595,3.4,52595,6.5,21.7,11.8,48.8,89.4,4.9,0.7,2,0.3,2.9,4,86,73.8,2.6,4.2,91.6,25.6,6242,22.7,21776,61.4,20.7,139200,20092,2.45,21547,47223,17.6,917,9493,-2.2,2946,4928,0,0,0,0,0,28.5,0,0,412938,7940,56687,75,829.28,63.4,0,0,0,0,0,0
IN,12967,13402,-3.2,13402,5.4,22.8,17.8,49.3,97.2,0.9,0.4,0.2,0,1.1,2.9,94.5,91,0.8,2,85.3,13.1,884,23.9,6043,80,6.4,94900,5058,2.58,21641,44764,14,323,3519,-0.3,800,929,0,0,0,0,0,22.6,0,262911,112778,8175,0,13,433.65,30.9,0,0,0,0,0,0
PA,243762,235408,3.5,235406,5.3,20.3,17,50.6,90.2,3.8,0.2,3.8,0,1.9,3.4,87.5,84.8,5.3,7.8,91.1,32.5,20999,21.2,102907,71.1,19.4,184500,95286,2.35,31791,60826,8.3,5733,114225,-1.1,14747,19279,1.5,0,2.4,0,0,22.5,3472636,3657759,3684912,16179,402745,879,545.46,431.6,0,0,0,0,0,0
IA,12840,13229,-2.9,13229,5.7,23.1,21.3,49.6,97.2,0.8,0.4,0.4,0.1,1.1,10.2,87.7,91.3,4.5,9,88.8,16,938,15.6,6494,77.4,14.4,71700,5367,2.4,25827,45205,11,390,3908,-8.2,868,1529,0,0,0,0,0,20.1,863324,291061,100154,7681,7591,12,580.42,22.8,0,0,0,0,0,0
NE,10867,11055,-1.7,11055,6.1,22.4,18.9,50,96.4,0.9,0.8,0.5,0,1.4,5.1,92,87.1,1.4,2.6,93.7,19.5,890,11.3,5280,71.4,13,84200,4732,2.25,23320,42345,12.7,420,3875,-0.9,874,1202,0,0,0,0,0,0,0,140941,175905,16520,16396,5,716.99,15.4,0,0,0,0,0,0
GA,26922,27696,-2.8,27695,6,22.3,13.3,51.7,51.5,45.1,0.5,1,0.1,1.8,7.3,45.3,85.4,5.9,9.5,82.7,19.2,2354,22.7,11273,66.6,15.6,120000,9525,2.62,19431,39844,24.6,456,5767,-4.6,1823,1757,0,0,0,0,3.6,0,1057803,0,317396,12122,28726,161,150.27,184.3,0,0,0,0,0,0
IL,37903,38950,-2.7,38950,5.6,21.6,17,49.6,92.2,5.5,0.3,0.7,0,1.3,4.5,88.2,86.4,1.5,3.8,86.1,14.5,2815,21.5,15829,73.9,14.1,110200,14446,2.37,24952,54614,10.3,879,11604,-1.2,1969,2551,0,0,2.5,0,0,26.8,1261471,0,396450,10438,38283,22,1044.29,37.3,0,0,0,0,0,0
TX,34438,33708,2.2,33718,5.9,21.6,19.8,50.7,78.5,18,0.5,1.8,0,1.1,15.1,64.8,87.9,6.9,13.9,80.9,23.5,2401,19.8,15702,69.2,12,147800,12244,2.61,23070,44858,14.9,882,12488,0.2,2870,3393,0,0,0,0,4.2,29.9,762771,0,509916,15900,41272,85,603.95,55.8,0,0,0,0,0,0
AL,415123,413143,0.5,412992,6.7,24,14.5,52.2,60.1,35.3,1,2,0.1,1.5,2.8,57.8,85.8,3.2,5,83.9,20.7,33586,23.9,181611,66.6,17.4,124300,155178,2.6,22501,43028,19.8,8567,147574,-0.4,29500,34836,18.8,0,2.4,0,1.2,29.5,12407151,3268730,5225494,12895,562436,746,1229.44,335.9,0,0,0,0,0,0
IA,14056,14398,-2.4,14398,6,23.6,20.6,49.8,97.1,0.9,0.2,0.7,0,0.9,4.5,93.3,86.3,2.8,4.5,91.1,18.9,1117,16.7,6635,74.9,16.3,93000,6098,2.27,28086,48185,11.3,506,5345,1.3,984,1337,0,0,0,0,0,21.5,304999,322652,169740,12093,9778,22,573.04,25.1,0,0,0,0,0,0
MI,43186,42798,0.9,42798,4.8,18.9,16.9,49.9,93.2,3,0.7,0.9,0,2.2,2.1,91.5,80.3,2.1,4.1,89.8,21.6,3475,22.5,21101,72.9,11.1,112200,15536,2.55,19336,39470,22.9,751,9299,-6.5,2215,3150,0,0,0,0,0,0,668177,0,474988,11352,44055,79,555.07,77.1,0,0,0,0,0,0
MS,10598,10778,-1.7,10778,8.7,30.3,10.2,52.9,22.2,75.6,0.2,0.9,0.2,1,2.4,20.4,82.6,3.8,4.7,76.8,15.4,522,18.3,4824,43.6,37,74000,4116,2.53,15549,31446,30.3,217,9548,-0.9,678,509,32.2,0,0,0,0,34.2,0,40673,130682,12457,1308603,15,454.67,23.7,0,0,0,0,0,0
TN,189961,172337,10.2,172331,8.7,27.2,8.6,50.1,72.4,19.7,0.7,2.5,0.5,4.2,9.6,64.9,76.3,5.3,9.9,90.9,23.5,24920,23.8,76987,61.2,20.7,141800,64026,2.72,22380,49617,16.4,2662,40738,-4.2,9026,9906,8,0.5,3.7,0,0,29.5,0,345533,1877647,12125,245217,1446,539.18,319.6,0,0,0,0,0,0
AL,16874,17241,-2.1,17241,5.4,21.7,19.6,50.5,86.2,11.9,0.4,0.3,0,1.1,1.4,85,87.8,0.6,0.8,74.9,13.2,1221,27.5,8404,74.9,8.7,71400,6956,2.41,18494,33838,19.9,306,3323,-3.8,1073,1378,5.1,0,0,0,0,24.3,186247,22463,130362,7433,10869,0,627.66,27.5,0,0,0,0,0,0
GA,22709,23316,-2.6,23316,7,26.2,14.1,52,49.2,48.4,0.3,0.5,0.1,1.4,3,47,90.9,1.7,3,76.9,9.9,1490,26.7,9829,70.2,9.1,80000,7881,2.91,16171,31494,33.5,300,4993,-10.5,1381,1797,28.3,0,0,0,0,36.2,0,0,177473,7776,11108,43,826.97,28.2,0,0,0,0,0,0
PA,76218,77748,-2,77742,4.4,18.3,20.4,48.1,96,2.8,0.1,0.3,0,0.7,1.4,94.8,91.5,0.7,3.9,85.6,14.5,6814,23.2,37945,78.9,10.9,98400,29791,2.45,22192,43597,12.4,1702,18776,-6.7,4552,6162,0,0,0,0,0,27.1,955546,0,764746,9838,81350,57,1074.37,72.4,0,0,0,0,0,0
WA,120365,116901,3,116901,6.1,22.5,18.7,50.4,90.8,0.9,2.7,2.2,0.3,3,17.8,75.4,83.4,9.3,14.2,88.2,23.6,11557,25,51870,67.6,16.6,261400,45293,2.56,27065,55925,13.5,3351,38170,3.1,7287,10513,0.3,0,0,0,2.7,25.4,8918220,698025,2134762,18362,251025,274,1731.2,67.5,0,0,0,0,0,0
TX,62955,60968,3.3,60968,10.4,33,11.3,51.4,98.8,0.4,0.3,0.3,0,0.2,95.8,3.8,91,31.3,95.6,45,8.6,1007,21.2,19625,78.3,7.3,62900,15949,3.81,11584,24927,39.2,557,9955,0.8,6579,6656,0,0,1.9,0,73.2,26.1,0,0,445281,7306,26162,0,1223.18,49.8,0,0,0,0,0,0
VA,76583,74866,2.3,68676,4.4,20.4,19.4,50.7,90,7,0.3,1.2,0,1.4,2,88.3,90.9,1.7,3.2,87.6,25,7104,27.6,35779,85,3.6,195400,27233,2.53,28697,57596,8.2,1353,11923,0.4,4549,5647,0,0,0,0,0.7,23.3,785359,368955,466545,7029,27892,420,753.02,91.2,0,0,0,0,0,0
NE,172193,158840,8.4,158840,7.8,28.2,10.2,49.9,89.5,4.5,0.6,2.4,0.1,2.9,8.3,82.3,84.2,5.4,8.2,94.9,36.2,18098,20.3,65910,70.6,18.9,162400,59606,2.71,30189,69965,6.6,3337,44160,5.4,9443,11983,2.3,0,3.1,0,2,28,587723,3005930,2285801,15630,160273,1276,238.99,664.6,0,0,0,0,0,0
ID,21482,21378,0.5,21376,5.2,23.2,15.8,49.2,95.5,0.3,1.5,1,0.2,1.4,20.7,76.9,85.1,13.6,20.5,90.6,44.7,1347,16.9,15121,70.1,30.4,375000,9207,2.28,35524,64042,8.3,1339,10413,10.2,3337,4416,0,0,0,0,2.4,23.7,0,285858,356031,16414,153302,89,2643.59,8.1,0,0,0,0,0,0
TN,32641,31809,2.6,31809,5.5,23.1,17.6,50.8,95,2.2,0.6,0.5,0.1,1.6,4.5,91,80.5,2,3.1,76.9,12.6,2075,25,14431,70.3,8.8,104400,12096,2.58,18952,36741,22.6,495,8052,-1.1,1646,2196,0,0,0,0,0,0,894654,17906,250814,8206,26918,62,315.38,100.9,0,0,0,0,0,0
UT,7254,7125,1.8,7125,5.8,22.9,21.5,50,95.8,0.4,1.7,0.5,0.1,1.5,4.5,91.6,84.6,2.8,2.8,94.4,25.3,695,16.5,5866,78.9,3.4,162300,3077,2.3,24154,48540,7.8,249,2128,2.7,669,710,0,0,0,0,0,15.4,0,3848,72071,11098,20941,15,3990.23,1.8,0,0,0,0,0,0
KY,26194,25746,1.7,25746,6.3,23.8,16.2,49.7,97.2,1.2,0.3,0.3,0,1.1,1.4,95.9,83.7,0.4,1.4,76,9.5,1881,25.5,13491,72.3,9.7,87700,9897,2.57,19115,32399,23.3,498,6042,1.6,1931,2172,0,0,0,0,0,0,692032,0,234914,9281,16243,4,496.7,51.8,0,0,0,0,0,0
LA,83709,83384,0.4,83384,7.8,27.1,14.8,51.9,56.6,41.3,0.4,0.5,0,1.3,1.9,55.1,91.8,0.8,10.9,76.4,13.2,4489,26.4,36140,70,9.1,83600,30935,2.66,19387,35503,26.8,1602,23819,5.5,5606,6291,20.8,0,1.3,0,1.9,24.3,0,0,970661,10633,56570,144,923.88,90.3,0,0,0,0,0,0
IN,34791,34387,1.2,34387,9.4,31.3,14.4,50.5,98.2,0.4,0.3,0.3,0,0.7,4.4,94.1,90.1,0.7,16.8,84.3,14.7,1778,21.5,13098,78.9,14.4,116100,12127,2.8,20160,46695,18.1,713,11483,2.9,3001,3173,0,0,0,0,0,18.6,2127689,0,369895,10928,27069,79,339.03,101.4,0,0,0,0,0,0
MT,6064,6073,-0.1,6073,6.1,23,22,50.9,96,0.1,1.6,0.2,0,2.2,1.4,94.7,90.1,1.6,3.9,90.4,24.5,607,20.4,2882,75.9,8.5,134700,2303,2.52,22799,43327,15.1,206,1213,13,597,1024,0,0,0,0,0,0,0,0,43930,7130,2987,2,2272.38,2.7,0,0,0,0,0,0
GA,9701,9984,-2.8,9980,4.5,19.6,15.5,43.5,63.5,35,0.3,0.3,0,0.9,2.2,61.8,83.7,1.7,1.9,75.8,11.5,729,28.9,4066,78.9,5.1,65000,3250,2.71,16807,36722,22.8,120,994,-9.6,599,516,0,0,0,0,0,21.1,0,0,25209,2678,1384,0,303.01,32.9,0,0,0,0,0,0
AZ,4087191,3817357,7.1,3817117,6.7,25.1,13.8,50.6,84.4,5.7,2.8,4.1,0.3,2.8,30.3,57,80,14.9,26.3,86.4,29.8,271518,25.4,1680068,62.5,25.1,176500,1411727,2.72,27256,53596,16.7,86045,1491582,2.3,275014,311765,2.4,1.2,3.9,0,9.2,27.3,40182099,49760315,58688328,15153,8408940,18597,9200.14,414.9,0,0,0,0,0,0
LA,43745,45817,-4.5,45924,6.6,25.2,12.6,51.3,42,55.4,0.4,0.8,0.2,1.2,5.4,37.6,89.8,3.6,7.1,80.4,14.5,2525,27,17621,77.7,8.6,149900,15440,2.87,21335,50635,16.1,714,13888,-4.7,3266,3722,45,0,3,0,0,31.8,0,2540843,454761,9492,55538,35,213.07,215.5,0,0,0,0,0,0
IL,266560,269328,-1,269282,5.9,22.2,15.7,51.1,88.5,8.3,0.3,0.9,0.1,1.9,3.1,85.7,86.8,2.4,3.3,90.9,24.4,23227,24.3,118186,72.5,16.3,124600,107238,2.45,27407,53633,14,5856,83255,-0.5,14059,18588,3.1,0,0,0,2.8,30.9,18978164,1643600,3104222,11622,382660,525,715.58,376.3,0,0,0,0,0,0
AR,17534,17998,-2.6,17997,5.6,20.4,16.7,50.3,79.6,17.6,0.7,0.4,0.1,1.6,2.9,77.1,79.1,0.8,1.7,75.6,8.8,1352,19.1,7589,67.2,11.4,56500,6541,2.28,15609,30284,28.4,327,3890,1.9,842,1110,0,0,0,0,0,17,0,95424,190887,11203,9669,5,633.94,28.4,0,0,0,0,0,0
MI,356874,345066,3.4,344791,5.3,19.7,12,50.7,74.6,12.8,0.4,8.7,0.1,3.3,4.4,71,77.1,11.4,14.2,94,51.3,16860,23,148470,60.8,33,198400,135800,2.42,33231,59055,15.4,7971,143487,3.3,27876,32615,7.5,0,4.9,0,0,33.1,5331756,3630996,3681086,10584,613520,570,705.97,488.4,0,0,0,0,0,0
IL,24612,24913,-1.2,24913,6,21.7,19.2,50.7,92.9,4.1,0.4,0.6,0.1,1.9,1.7,91.7,87.2,1.3,2.3,84.9,14.6,2136,22.9,11608,72.2,9.2,70500,10174,2.38,21596,37800,19.1,583,7199,-5.5,1528,1937,0,0,0,0,0,25.7,92440,0,271186,10427,28274,0,379.82,65.6,0,0,0,0,0,0
FL,217919,190039,14.7,190039,4.8,22,18.2,51.3,89.5,5.7,0.3,2.6,0.1,1.8,6.1,84,83.3,6.4,8.1,93.2,41.4,19172,25.7,96900,77,19.1,242900,75558,2.57,36836,64876,9.6,5305,49016,6.1,18006,19871,2.3,0.5,2.7,0,4.9,26.1,533263,871130,2039710,11601,507634,2786,600.66,316.4,0,0,0,0,0,0
NE,7202,7266,-0.9,7266,6.1,24.9,18,49.5,98.4,0.4,0.3,0.2,0,0.7,1.6,97,91.9,0.5,2.1,93.1,18.8,709,18.2,3227,80.2,3.6,97000,2916,2.42,24830,51924,5.6,231,1455,-10.3,623,770,0,0,0,0,0,0,0,77571,41414,5717,1613,23,573.25,12.7,0,0,0,0,0,0
OK,21529,20081,7.2,20081,7.5,25.8,13.9,47,91.2,2.1,3.4,0.9,0.1,2.5,12.1,80.7,86.1,3.8,6.1,85.3,17.8,1339,18.3,8927,71.8,10.7,104300,7382,2.63,24922,51867,15.2,809,8905,2.6,1532,2119,0,0,0,0,0,20.2,0,140638,337409,17219,34204,23,1242.4,16.2,0,0,0,0,0,0
KY,46467,46250,0.5,46250,6.3,23.4,15.7,51.5,89.4,7.9,0.3,0.5,0,1.9,2.3,87.5,83.8,1.3,3.1,85,16.4,3102,21.4,20463,68,19.1,99400,18787,2.4,22746,41940,17.7,1018,15968,-4.7,2430,3321,0,0,1.9,0,0,22.1,0,545021,662033,14659,54742,46,436.67,105.9,0,0,0,0,0,0
MD,622793,621121,0.3,620961,6.7,21.2,12.3,52.9,31.6,63.1,0.4,2.7,0.1,2,4.7,28.2,82.6,7.4,8.8,80.2,26.8,35446,30.1,296984,48.3,32.4,157900,241455,2.47,24750,41385,23.8,12280,284084,0.2,41444,42272,34.6,0,5.9,0,2.1,37,5730887,4843424,4348797,6793,1434689,821,80.94,7671.5,0,0,0,0,0,0
KY,49880,49285,1.2,49285,5.5,20.9,16.3,51.8,84.5,11.1,0.3,1.8,0,2.3,3,82,79.2,3.3,5,86.1,26.8,4043,17.9,23201,62.3,26.2,139300,21058,2.25,26243,46071,16.6,1154,14664,2.1,3151,4120,2.9,0,1.6,0,0,0,1400787,223558,622089,12816,80515,87,207.75,237.2,0,0,0,0,0,0
SC,164753,160106,2.9,160099,5.7,22.1,17.5,51.5,71.4,25.1,0.5,0.9,0.1,1.9,5.4,67,88,3.4,5.2,84.8,24,14081,25.2,74032,73.3,9.4,124600,63388,2.5,24769,44509,18.9,2674,47188,-0.9,9909,11931,11.2,1,1.8,0,2.4,31,3959342,0,1599845,10450,172893,678,1071.03,149.5,0,0,0,0,0,0
NE,6069,6129,-1,6129,6,25.9,15,49.6,97.1,0.9,0.7,0.1,0,1.2,4.8,92.9,88.4,1.6,3.8,91.8,17.7,317,17.6,2638,81.7,4.9,98900,2336,2.62,23131,51493,8.5,108,0,0,472,596,0,0,0,0,0,0,0,0,33003,5201,1630,22,427.95,14.3,0,0,0,0,0,0
NJ,157389,156898,0.3,156898,6.8,23.8,13.6,48.4,72.1,21.9,1.6,1.4,0.1,2.8,29.3,47.9,88,10.5,25.3,77,14.3,8555,23.3,56348,67.1,20.2,168900,50676,2.86,22524,50750,17.5,2898,43640,-3.9,6032,8637,9.5,0,3.7,0,8.6,21.4,2591390,0,1952706,12566,155140,212,483.7,324.4,0,0,0,0,0,0
NC,192103,178182,7.8,178011,6.3,26.2,12.5,51.2,77.4,17.1,0.7,2.8,0.1,2,10,69,87.9,7.6,10.6,86.4,25.1,12361,26.4,75521,73.1,13.3,167800,64713,2.78,25247,53551,13.2,4020,57722,2,13106,14369,6.8,0,0,0,2.6,24.9,0,1412323,2807782,17253,321521,1554,361.75,492.1,0,0,0,0,0,0
AR,8449,8689,-2.8,8689,5.1,23.4,19.1,51.1,86.6,11.4,0.5,0.1,0,1.3,2.2,84.7,94.7,0.4,0.9,84.8,13.8,630,27.4,4048,77.5,3,78300,3346,2.56,20622,39420,17.7,81,584,1.2,404,297,0,0,0,0,0,0,0,1230,12265,1404,0,0,597.78,14.5,0,0,0,0,0,0
